assignmentid	workerid	rt	evidence_type	language	age	gender	trial	enjoyment	asses	comments	Answer.time_in_minutes	response	evidence	item	Directness	EvidenceTypeCategorical
382M9COHEHEWXZPJWYL736M3862UEZ	0	12711	evidence3	English	42	Female	1	2	Yes		1.45476666666667	probably	You are listening to music with your earphones. You look out the window and see that the mailman has just arrived at your neighbor's doorstep, when all of a sudden he jumps back.	dog	0.668333333333333	inferential
382M9COHEHEWXZPJWYL736M3862UEZ	0	12069	evidence5	English	42	Female	2	2	Yes		1.45476666666667	probably	Your neighbor just got a new dog.	dog	0.487142857142857	inferential
382M9COHEHEWXZPJWYL736M3862UEZ	0	3048	evidence2	English	42	Female	3	2	Yes		1.45476666666667	bare	You hear the sound of a dog barking.	dog	0.734285714285714	inferential
382M9COHEHEWXZPJWYL736M3862UEZ	0	7398	evidence2	English	42	Female	4	2	Yes		1.45476666666667	must	You hear the sound of water dripping on the roof.	rain	0.9175	inferential
382M9COHEHEWXZPJWYL736M3862UEZ	0	6695	evidence3	English	42	Female	5	2	Yes		1.45476666666667	bare	You know that the coffee has been on the table for an hour.	coffee	0.95	inferential
382M9COHEHEWXZPJWYL736M3862UEZ	0	2360	evidence1	English	42	Female	6	2	Yes		1.45476666666667	bare	You take a sip of the coffee and feel that it is cold.	coffee	0.916	perceptual
382M9COHEHEWXZPJWYL736M3862UEZ	0	5310	evidence5	English	42	Female	7	2	Yes		1.45476666666667	might	Earlier today, you had seen dark clouds in the sky.	rain	0.573333333333333	inferential
382M9COHEHEWXZPJWYL736M3862UEZ	0	4695	evidence2	English	42	Female	8	2	Yes		1.45476666666667	bare	Your spouse tells you that dinner is ready.	dinner	0.93375	reportative
382M9COHEHEWXZPJWYL736M3862UEZ	0	4159	evidence1	English	42	Female	9	2	Yes		1.45476666666667	bare	You look out the window and see raindrops falling from the sky.	rain	0.935454545454545	perceptual
382M9COHEHEWXZPJWYL736M3862UEZ	0	2614	evidence2	English	42	Female	10	2	Yes		1.45476666666667	bare	You touch the coffee cup and feel that it is cold.	coffee	0.743333333333333	perceptual
382M9COHEHEWXZPJWYL736M3862UEZ	0	4048	evidence4	English	42	Female	11	2	Yes		1.45476666666667	must	You smell food coming from the dining room.	dinner	0.655384615384615	inferential
382M9COHEHEWXZPJWYL736M3862UEZ	0	2071	evidence1	English	42	Female	12	2	Yes		1.45476666666667	bare	You just prepared dinner and set it out on the table.	dinner	0.93	perceptual
3Z4AIRP3C6CPU2P2PF1FGT2DDFG1XG	1	13322	evidence1	english	32	Male	1	1	Yes		2.00818333333333	bare	You look out the window and see raindrops falling from the sky.	rain	0.935454545454545	perceptual
3Z4AIRP3C6CPU2P2PF1FGT2DDFG1XG	1	7429	evidence1	english	32	Male	2	1	Yes		2.00818333333333	bare	You take a sip of the coffee and feel that it is cold.	coffee	0.916	perceptual
3Z4AIRP3C6CPU2P2PF1FGT2DDFG1XG	1	7971	evidence4	english	32	Male	3	1	Yes		2.00818333333333	might	You smell food coming from the dining room.	dinner	0.655384615384615	inferential
3Z4AIRP3C6CPU2P2PF1FGT2DDFG1XG	1	5235	evidence2	english	32	Male	4	1	Yes		2.00818333333333	bare	Your spouse tells you that dinner is ready.	dinner	0.93375	reportative
3Z4AIRP3C6CPU2P2PF1FGT2DDFG1XG	1	6626	evidence5	english	32	Male	5	1	Yes		2.00818333333333	might	You see that the cup isn't insulated.	coffee	0.5825	inferential
3Z4AIRP3C6CPU2P2PF1FGT2DDFG1XG	1	8166	evidence5	english	32	Male	6	1	Yes		2.00818333333333	might	You're hungry.	dinner	0.563333333333333	wishful
3Z4AIRP3C6CPU2P2PF1FGT2DDFG1XG	1	5560	evidence4	english	32	Male	7	1	Yes		2.00818333333333	must	You check the weather report on the Internet, which says it is raining.	rain	0.742142857142857	reportative
3Z4AIRP3C6CPU2P2PF1FGT2DDFG1XG	1	6772	evidence3	english	32	Male	8	1	Yes		2.00818333333333	must	You know that the coffee has been on the table for an hour.	coffee	0.95	inferential
3Z4AIRP3C6CPU2P2PF1FGT2DDFG1XG	1	11016	evidence5	english	32	Male	9	1	Yes		2.00818333333333	might	Your neighbor just got a new dog.	dog	0.487142857142857	inferential
3Z4AIRP3C6CPU2P2PF1FGT2DDFG1XG	1	11033	evidence2	english	32	Male	10	1	Yes		2.00818333333333	probably	You hear the sound of a dog barking.	dog	0.734285714285714	inferential
3Z4AIRP3C6CPU2P2PF1FGT2DDFG1XG	1	6324	evidence1	english	32	Male	11	1	Yes		2.00818333333333	bare	You look outside and see Fluffy, the neighbor's dog, standing on the porch and barking.	dog	0.916	perceptual
3Z4AIRP3C6CPU2P2PF1FGT2DDFG1XG	1	4110	evidence2	english	32	Male	12	1	Yes		2.00818333333333	must	You hear the sound of water dripping on the roof.	rain	0.9175	inferential
34YB12FSQYNB45G1TRK9CZQL80EGMA	2	18174	evidence4	English	24	Female	1	2	Yes		2.18413333333333	must	You smell food coming from the dining room.	dinner	0.655384615384615	inferential
34YB12FSQYNB45G1TRK9CZQL80EGMA	2	13263	evidence4	English	24	Female	2	2	Yes		2.18413333333333	probably	You are listening to music with your earphones. You know that your neighbor's dog often barks in the evening.	dog	0.651	inferential
34YB12FSQYNB45G1TRK9CZQL80EGMA	2	12942	evidence3	English	24	Female	3	2	Yes		2.18413333333333	must	You see a person come in from outside with wet hair and wet clothes.	rain	0.89	inferential
34YB12FSQYNB45G1TRK9CZQL80EGMA	2	11768	evidence5	English	24	Female	4	2	Yes		2.18413333333333	bare	Your neighbor just got a new dog.	dog	0.487142857142857	inferential
34YB12FSQYNB45G1TRK9CZQL80EGMA	2	7841	evidence3	English	24	Female	5	2	Yes		2.18413333333333	probably	You know that the coffee has been on the table for an hour.	coffee	0.95	inferential
34YB12FSQYNB45G1TRK9CZQL80EGMA	2	8610	evidence3	English	24	Female	6	2	Yes		2.18413333333333	might	Dinner is usually ready at around 6pm. You look at the clock and it is 6pm.	dinner	0.85	inferential
34YB12FSQYNB45G1TRK9CZQL80EGMA	2	6908	evidence1	English	24	Female	7	2	Yes		2.18413333333333	bare	You look outside and see Fluffy, the neighbor's dog, standing on the porch and barking.	dog	0.916	perceptual
34YB12FSQYNB45G1TRK9CZQL80EGMA	2	8689	evidence4	English	24	Female	8	2	Yes		2.18413333333333	must	You see that there isn't any steam coming from the coffee.	coffee	0.681818181818182	inferential
34YB12FSQYNB45G1TRK9CZQL80EGMA	2	4520	evidence1	English	24	Female	9	2	Yes		2.18413333333333	bare	You look out the window and see raindrops falling from the sky.	rain	0.935454545454545	perceptual
34YB12FSQYNB45G1TRK9CZQL80EGMA	2	9829	evidence5	English	24	Female	10	2	Yes		2.18413333333333	might	You're hungry.	dinner	0.563333333333333	wishful
34YB12FSQYNB45G1TRK9CZQL80EGMA	2	5141	evidence5	English	24	Female	11	2	Yes		2.18413333333333	probably	You see that the cup isn't insulated.	coffee	0.5825	inferential
34YB12FSQYNB45G1TRK9CZQL80EGMA	2	6157	evidence2	English	24	Female	12	2	Yes		2.18413333333333	must	You hear the sound of water dripping on the roof.	rain	0.9175	inferential
3RWE2M8QWH9KBJQGRQA64MS569ZN0E	3	14673	evidence4	english	49	Female	1	2	Yes		1.75056666666667	might	You see that there isn't any steam coming from the coffee.	coffee	0.681818181818182	inferential
3RWE2M8QWH9KBJQGRQA64MS569ZN0E	3	8727	evidence3	english	49	Female	2	2	Yes		1.75056666666667	might	You know that the coffee has been on the table for an hour.	coffee	0.95	inferential
3RWE2M8QWH9KBJQGRQA64MS569ZN0E	3	10399	evidence4	english	49	Female	3	2	Yes		1.75056666666667	must	You are listening to music with your earphones. You know that your neighbor's dog often barks in the evening.	dog	0.651	inferential
3RWE2M8QWH9KBJQGRQA64MS569ZN0E	3	4498	evidence5	english	49	Female	4	2	Yes		1.75056666666667	might	You see that the cup isn't insulated.	coffee	0.5825	inferential
