workerid	rt	sentence	language	age	gender	trial	enjoyment	asses	comments	Answer.time_in_minutes	response	evidence	item	item_type	sentence.1	Directness	EvidenceTypeCategorical	EvidenceDirectnessCategorical	Experiment
0	8048	Dinner might be ready.	English	23	M	3	2	Yes		1.14118333333333	0.46	evidence4	dinner	might	Dinner might be ready.	0.655384615384615	inferential	indirect	listener
0	11083	The coffee is cold.	English	23	F	4	2	Yes		1.14118333333333	1	evidence1	coffee	bare	The coffee is cold.	0.916	perceptual	direct	listener
0	11516	It's probably raining.	English	23	M	2	2	Yes		1.14118333333333	0.85	evidence1	rain	probably	It's probably raining.	0.935454545454545	perceptual	direct	listener
0	11844	The neighbor&quotechars dog is probably barking.	english	23	F	3	1	Yes	great hit	1.56663333333333	0.74	evidence1	dog	probably	The neighbor&quotechars dog is probably barking.	0.916	perceptual	direct	speaker
0	12935	The coffee might be cold.	english	23	M	4	1	Yes	great hit	1.56663333333333	0.71	evidence2	coffee	might	The coffee might be cold.	0.743333333333333	perceptual	indirect	speaker
0	14284	The neighbor's dog must be barking.	English	23	F	1	2	Yes		1.14118333333333	0.74	evidence2	dog	must	The neighbor's dog must be barking.	0.734285714285714	inferential	indirect	listener
0	15424	Dinner is ready.	english	23	F	2	1	Yes	great hit	1.56663333333333	0.96	evidence1	dinner	bare	Dinner is ready.	0.93	perceptual	direct	speaker
0	34955	It must be raining.	english	23	M	1	1	Yes	great hit	1.56663333333333	0.85	evidence2	rain	must	It must be raining.	0.9175	inferential	indirect	speaker
1	8007	The coffee might be cold.	English	38	M	2	2	Yes		0.989133333333333	0.47	evidence3	coffee	might	The coffee might be cold.	0.95	inferential	indirect	speaker
1	8280	Dinner is ready.	English	38	M	3	2	Yes		0.989133333333333	0.99	evidence1	dinner	bare	Dinner is ready.	0.93	perceptual	direct	speaker
1	8726	The coffee might be cold.	English	31	F	4	2	Yes		1.33888333333333	0.71	evidence3	coffee	might	The coffee might be cold.	0.95	inferential	indirect	listener
1	11247	The neighbor&quotechars dog is probably barking.	English	38	M	4	2	Yes		0.989133333333333	0.75	evidence3	dog	probably	The neighbor&quotechars dog is probably barking.	0.668333333333333	inferential	indirect	speaker
1	12536	It must be raining.	English	38	F	1	2	Yes		0.989133333333333	0.89	evidence3	rain	must	It must be raining.	0.89	inferential	indirect	speaker
1	13868	Dinner must be ready.	English	31	F	3	2	Yes		1.33888333333333	0.65	evidence4	dinner	must	Dinner must be ready.	0.655384615384615	inferential	indirect	listener
1	13983	The neighbor's dog is barking.	English	31	F	2	2	Yes		1.33888333333333	0.82	evidence2	dog	bare	The neighbor's dog is barking.	0.734285714285714	inferential	indirect	listener
1	20750	It's probably raining.	English	31	M	1	2	Yes		1.33888333333333	0.7	evidence2	rain	probably	It's probably raining.	0.9175	inferential	indirect	listener
2	5710	The coffee is probably cold.	English	26	F	4	2	Yes	none	1.83011666666667	0.84	evidence1	coffee	probably	The coffee is probably cold.	0.916	perceptual	direct	listener
2	6540	It might be raining.	English	26	F	3	2	Yes	none	1.83011666666667	0.82	evidence1	rain	might	It might be raining.	0.935454545454545	perceptual	direct	listener
2	9095	The coffee might be cold.	English 	18	M	2	2	Yes	Thank you! Interesting study. 	1.41296666666667	0.77	evidence3	coffee	might	The coffee might be cold.	0.95	inferential	indirect	speaker
2	9191	The neighbor's dog is barking.	English	26	F	2	2	Yes	none	1.83011666666667	0.86	evidence2	dog	bare	The neighbor's dog is barking.	0.734285714285714	inferential	indirect	listener
2	10807	The neighbor&quotechars dog is barking.	English 	18	F	3	2	Yes	Thank you! Interesting study. 	1.41296666666667	0.98	evidence2	dog	bare	The neighbor&quotechars dog is barking.	0.734285714285714	inferential	indirect	speaker
2	12591	Dinner must be ready.	English 	18	M	1	2	Yes	Thank you! Interesting study. 	1.41296666666667	0.33	evidence5	dinner	must	Dinner must be ready.	0.563333333333333	wishful	indirect	speaker
